order_id,customer_id,product_id,quantity,unit_price,total_amount,payment_method,order_status,order_date,delivery_date
O000029,C00203,P0023,5,91.66,458.3,Cash,Completed,2025-11-06 00:49:43.598595,2025-11-09 00:49:43.598595
O000030,C00182,P0099,4,330.08,1320.32,Cash,Cancelled,2026-03-29 04:11:19.106640,2026-04-06 04:11:19.106640
O000031,C00460,P0088,5,444.61,2223.05,UPI,Cancelled,2026-01-14 15:26:54.237761,2026-01-24 15:26:54.237761
O000032,C00324,P0020,4,165.57,662.28,UPI,Pending,2026-01-31 06:35:11.873727,2026-02-02 06:35:11.873727
O000033,C00647,P0039,3,395.36,1186.08,Card,Pending,2026-04-19 10:37:33.667494,2026-04-29 10:37:33.667494
O000034,C00520,P0010,3,265.35,796.05,UPI,Completed,2025-07-11 01:32:43.471055,2025-07-19 01:32:43.471055
O000035,C00059,P0048,3,49.7,149.1,Cash,Completed,2025-12-19 17:15:04.654483,2025-12-21 17:15:04.654483
O000036,C00630,P0077,5,259.05,1295.25,UPI,Cancelled,2025-09-16 00:38:31.051406,2025-09-23 00:38:31.051406
O000037,C00568,P0095,1,168.17,168.17,Cash,Cancelled,2025-10-16 19:53:05.465849,2025-10-24 19:53:05.465849
O000038,C00193,P0042,5,394.32,1971.6,Cash,Completed,2025-11-19 16:09:09.329403,2025-11-27 16:09:09.329403
O000039,C00981,P0008,4,482.59,1930.36,UPI,Cancelled,2025-12-21 07:38:09.571841,2025-12-23 07:38:09.571841
O000040,C00087,P0065,2,474.76,949.52,Card,Cancelled,2025-10-03 07:17:56.224421,2025-10-04 07:17:56.224421
O000041,C00449,P0057,5,197.38,986.9,Cash,Completed,2025-09-04 20:15:07.807446,2025-09-13 20:15:07.807446
O000042,C00373,P0048,3,49.7,149.1,UPI,Pending,2025-08-15 23:47:44.751237,2025-08-22 23:47:44.751237
O000043,C00696,P0077,1,259.05,259.05,Card,Pending,2026-03-30 16:31:00.122080,2026-04-05 16:31:00.122080
O000044,C00097,P0072,4,129.07,516.28,UPI,Cancelled,2026-01-27 08:07:34.878587,2026-02-01 08:07:34.878587
O000045,C00873,P0085,5,267.63,1338.15,UPI,Completed,2026-01-17 06:46:57.521787,2026-01-20 06:46:57.521787
O000046,C00597,P0085,2,267.63,535.26,UPI,Cancelled,2026-02-24 19:51:15.335418,2026-03-02 19:51:15.335418
O000047,C00716,P0085,4,267.63,1070.52,Cash,Cancelled,2026-06-03 21:47:52.244879,2026-06-06 21:47:52.244879
O000048,C00961,P0011,3,207.94,623.82,UPI,Cancelled,2025-12-27 04:52:57.908488,2026-01-05 04:52:57.908488
O000049,C00811,P0043,2,253.39,506.78,Card,Cancelled,2026-03-29 20:28:16.507379,2026-04-07 20:28:16.507379
O000050,C00687,P0055,5,473.4,2367.0,Card,Pending,2026-06-04 13:19:02.697017,2026-06-10 13:19:02.697017
O000051,,P0024,2,343.15,686.3,UPI,Completed,2026-02-10 00:28:09.956363,2026-02-16 00:28:09.956363
O000052,C00232,P0018,2,489.28,978.56,UPI,Completed,2025-12-04 10:14:16.193774,2025-12-06 10:14:16.193774
O000053,C00520,P0099,5,330.08,1650.4,Card,Cancelled,2025-12-10 17:31:23.360558,2025-12-19 17:31:23.360558
O000054,C00345,P0099,5,330.08,1650.4,Cash,Pending,2025-11-02 06:38:04.724737,2025-11-05 06:38:04.724737
O000055,C00158,P0021,2,190.55,381.1,Card,Cancelled,2026-06-13 16:04:32.509527,2026-06-23 16:04:32.509527
O000056,C00449,P0006,4,10.0,40.0,Cash,Cancelled,2026-05-26 03:15:34.078897,2026-06-01 03:15:34.078897
O000057,C00244,P0057,5,197.38,986.9,Cash,Pending,2025-07-30 09:45:00.218955,2025-08-04 09:45:00.218955
O000058,C00240,P0069,2,107.54,215.08,UPI,Completed,2026-03-01 23:28:28.319998,2026-03-06 23:28:28.319998
O000059,C00377,P0087,5,361.82,1809.1,UPI,Pending,2025-11-27 01:07:23.101693,2025-12-05 01:07:23.101693
O000060,C00797,P0049,5,270.6,1353.0,UPI,Completed,2026-01-19 20:30:41.596190,2026-01-28 20:30:41.596190
O000061,C00837,,5,131.39,656.95,UPI,Completed,2026-02-23 02:01:48.398192,2026-02-26 02:01:48.398192
O000062,C00657,P0062,3,475.52,1426.56,Card,Cancelled,2026-06-11 15:45:10.912234,2026-06-20 15:45:10.912234
O000063,C00867,P0067,1,30.04,30.04,Card,Completed,2026-05-23 19:51:50.995364,2026-05-28 19:51:50.995364
O000064,C00280,P0058,5,295.73,1478.65,UPI,Completed,2025-08-07 10:14:24.136402,2025-08-10 10:14:24.136402
O000065,C00970,P0029,4,346.71,1386.84,Card,Pending,2026-04-16 00:34:00.605238,2026-04-22 00:34:00.605238
O000066,C00055,P0051,5,339.04,1695.2,Card,Pending,2025-10-19 19:53:42.031866,2025-10-25 19:53:42.031866
O000067,C00084,P0048,2,49.7,99.4,UPI,Completed,2025-10-10 04:31:38.386940,2025-10-11 04:31:38.386940
O000068,C00860,P0092,3,50.16,150.48,Card,Completed,2025-12-24 10:45:31.210490,2025-12-27 10:45:31.210490
O000069,C00294,P0061,2,346.69,693.38,UPI,Cancelled,2026-03-14 15:10:26.379015,2026-03-22 15:10:26.379015
O000070,C00006,P0011,1,207.94,207.94,Card,Completed,2025-07-23 16:54:27.382366,2025-07-28 16:54:27.382366
O000071,C00562,P0094,-2,280.4,1402.0,UPI,Completed,2026-02-03 02:15:53.848574,2026-02-12 02:15:53.848574
O000072,C00795,P0037,2,312.34,624.68,Card,Completed,2026-04-26 19:42:25.833370,2026-05-01 19:42:25.833370
O000073,C00245,P0054,5,326.37,1631.85,Card,Completed,2025-09-14 14:22:58.222281,2025-09-22 14:22:58.222281
O000074,C00857,P0064,5,34.97,174.85,Card,Cancelled,2025-12-27 03:06:19.354111,2026-01-05 03:06:19.354111
O000075,C00528,P0074,2,165.27,330.54,UPI,Pending,2025-12-13 13:51:09.315618,2025-12-16 13:51:09.315618
O000076,C00002,P0079,3,154.31,462.93,Cash,Pending,2025-07-11 17:53:19.791036,2025-07-15 17:53:19.791036
O000077,C00192,P0086,1,217.95,217.95,UPI,Completed,2026-07-01 04:07:26.950302,2026-07-10 04:07:26.950302
O000078,C00977,P0068,5,394.55,1972.75,Cash,Cancelled,2026-02-03 08:20:10.833167,2026-02-12 08:20:10.833167
O000079,C00021,P0050,4,294.36,1177.44,Cash,Pending,2026-03-21 21:44:41.343204,2026-03-22 21:44:41.343204
O000080,C00383,P0033,1,489.08,489.08,Card,Pending,2025-08-17 02:28:18.633626,2025-08-23 02:28:18.633626
O000081,C00247,P0094,1,280.4,280.4,Crypto,Pending,2025-11-27 06:11:41.910646,2025-12-07 06:11:41.910646
O000082,C00137,P0006,3,10.0,30.0,UPI,Cancelled,2026-03-01 23:46:06.939892,2026-03-10 23:46:06.939892
O000083,C00180,P0100,4,423.46,1693.84,Cash,Completed,2026-07-01 10:13:58.552369,2026-07-09 10:13:58.552369
O000084,C00831,P0018,1,489.28,489.28,Card,Pending,2026-06-21 23:50:14.084360,2026-06-29 23:50:14.084360
O000085,C00207,P0006,2,10.0,20.0,UPI,Pending,2026-04-09 18:48:10.491729,2026-04-10 18:48:10.491729
O000086,C00528,P0051,5,339.04,1695.2,UPI,Completed,2025-07-12 18:47:43.413426,2025-07-20 18:47:43.413426
O000087,C00772,P0083,2,37.51,75.02,UPI,Completed,2025-08-26 16:01:37.508140,2025-08-31 16:01:37.508140
O000088,C00887,P0084,3,276.44,829.32,Card,Pending,2026-06-18 13:52:31.175036,2026-06-23 13:52:31.175036
O000089,C00448,P0052,4,442.7,1770.8,UPI,Completed,2026-02-19 00:35:38.480976,2026-02-26 00:35:38.480976
O000090,C00509,P0089,4,202.37,809.48,Cash,Pending,2026-06-21 07:37:45.282294,2026-06-27 07:37:45.282294
O000091,C00821,P0011,4,207.94,831.76,UPI,Cancelled,2026-04-01 21:54:26.609088,2026-03-30 21:54:26.609088
O000092,C00843,P0024,5,343.15,1715.75,UPI,Completed,2026-01-28 08:59:12.107806,2026-02-02 08:59:12.107806
O000093,C00082,P0042,3,394.32,1182.96,UPI,Cancelled,2026-02-23 04:28:39.547053,2026-02-28 04:28:39.547053
O000094,C00735,P0055,2,473.4,946.8,UPI,Pending,2025-11-19 17:38:39.346162,2025-11-27 17:38:39.346162
O000095,C00044,P0094,3,280.4,841.2,UPI,Pending,2026-04-27 12:06:48.061155,2026-05-07 12:06:48.061155
O000096,C00655,P0008,1,482.59,482.59,UPI,Cancelled,2025-08-13 21:20:03.360432,2025-08-20 21:20:03.360432
O000097,C00821,P0096,2,437.44,874.88,Card,Cancelled,2026-05-23 15:03:17.802821,2026-05-24 15:03:17.802821
O000098,C00695,P0057,1,197.38,197.38,Card,Completed,2025-12-01 02:39:23.183364,2025-12-04 02:39:23.183364
O000099,C00798,P0083,3,37.51,112.53,UPI,Cancelled,2025-12-14 13:16:09.964486,2025-12-20 13:16:09.964486
O000100,C00034,P0078,2,114.67,229.34,UPI,Pending,2025-08-16 06:39:19.985515,2025-08-24 06:39:19.985515
O000101,C00455,P0098,1,56.28,56.28,Card,Cancelled,2026-03-31 20:57:23.442608,2026-04-10 20:57:23.442608
O000102,C00376,P0051,3,339.04,1017.12,Card,Completed,2026-06-28 21:06:32.583818,2026-07-03 21:06:32.583818
O000103,C00027,P0095,2,168.17,336.34,Cash,Pending,2025-11-30 11:17:18.520202,2025-12-08 11:17:18.520202
O000104,C00936,P0072,1,129.07,129.07,UPI,Cancelled,2026-06-15 05:15:33.436126,2026-06-20 05:15:33.436126
O000105,C00457,P0028,5,472.89,2364.45,Cash,Pending,2025-07-02 20:34:33.160107,2025-07-07 20:34:33.160107
O000106,C00205,P0016,2,22.77,45.54,UPI,Completed,2026-07-01 14:16:32.014907,2026-07-03 14:16:32.014907
O000107,C00921,P0092,4,50.16,200.64,Cash,Pending,2026-04-01 00:01:47.300356,2026-04-03 00:01:47.300356
O000108,C00684,P0045,1,374.55,374.55,Cash,Pending,2026-06-01 14:30:27.881634,2026-06-10 14:30:27.881634
O000109,C00913,P0039,2,395.36,790.72,UPI,Cancelled,2025-10-11 19:20:13.605629,2025-10-14 19:20:13.605629
O000110,C00230,P0016,2,22.77,45.54,Card,Pending,2026-04-24 15:11:38.784700,2026-04-27 15:11:38.784700
O000111,C00027,P0047,5,483.8,2419.0,UPI,Pending,2026-06-03 23:02:09.669313,2026-06-13 23:02:09.669313
O000112,C00823,P0071,2,142.25,284.5,Card,Completed,2025-08-20 09:49:21.113416,2025-08-30 09:49:21.113416
O000113,C00317,P0051,4,339.04,1356.16,UPI,Pending,2026-05-08 09:51:18.865402,2026-05-17 09:51:18.865402
O000114,C00844,P0074,1,165.27,165.27,UPI,Cancelled,2025-08-18 01:32:04.583615,2025-08-21 01:32:04.583615
O000115,C00076,P0058,4,295.73,1182.92,UPI,Completed,2026-03-07 16:36:53.513578,2026-03-16 16:36:53.513578
O000116,C00900,P0100,5,423.46,2117.3,Card,Completed,2026-06-24 19:48:53.642085,2026-07-04 19:48:53.642085
O000117,C00444,P0065,1,474.76,474.76,Cash,Completed,2025-10-08 10:31:01.414776,2025-10-10 10:31:01.414776
O000118,C00312,P0022,2,208.97,417.94,Cash,Completed,2026-02-02 05:05:25.075649,2026-02-08 05:05:25.075649
O000119,C00355,P0067,3,30.04,90.12,UPI,Completed,2025-07-16 18:44:44.388444,2025-07-18 18:44:44.388444
O000120,C00651,P0071,3,142.25,426.75,Cash,Pending,2026-05-26 21:31:55.028257,2026-05-29 21:31:55.028257
O000121,C00630,P0069,1,107.54,107.54,Cash,Completed,2025-09-16 13:22:37.361671,2025-09-25 13:22:37.361671
O000122,C00607,P0075,2,67.75,135.5,Cash,Cancelled,2025-12-09 04:23:50.249566,2025-12-12 04:23:50.249566
O000123,C00738,P0078,3,114.67,344.01,Card,Completed,2025-12-03 22:41:02.406799,2025-12-13 22:41:02.406799
O000124,C00084,P0006,5,10.0,50.0,Cash,Completed,2025-09-20 22:07:54.067967,2025-09-25 22:07:54.067967
O000125,C00786,P0074,4,165.27,661.08,Cash,Completed,2025-12-03 01:38:24.252748,2025-12-13 01:38:24.252748
O000126,C00510,P0081,5,344.62,1723.1,Cash,Pending,2025-11-10 02:20:19.080308,2025-11-15 02:20:19.080308
O000127,C00495,P0032,4,151.46,605.84,UPI,Completed,2026-03-29 17:21:56.526038,2026-04-03 17:21:56.526038
O000128,C00706,P0008,2,482.59,965.18,UPI,Pending,2025-08-05 13:34:57.512945,2025-08-13 13:34:57.512945
O000129,C00476,P0027,3,340.42,1021.26,Card,Pending,2026-05-13 23:13:23.995803,2026-05-23 23:13:23.995803
O000130,C00883,P0092,3,50.16,150.48,UPI,Completed,2026-02-11 15:59:33.923446,2026-02-17 15:59:33.923446
O000131,C00779,P0048,5,49.7,248.5,Card,Pending,2025-10-29 21:21:21.948235,2025-11-07 21:21:21.948235
O000132,C00248,P0060,1,207.02,207.02,UPI,Completed,2026-02-19 11:32:58.240125,2026-02-24 11:32:58.240125
O000133,C00145,P0013,1,313.51,313.51,UPI,Cancelled,2025-10-11 03:30:01.181496,2025-10-16 03:30:01.181496
O000134,C00429,P0032,2,151.46,302.92,Cash,Cancelled,2025-11-26 17:22:23.896981,2025-12-02 17:22:23.896981
O000135,C00321,P0025,2,119.93,239.86,Cash,Pending,2025-10-10 12:19:56.542553,2025-10-18 12:19:56.542553
O000136,C00511,P0040,4,367.52,1470.08,Card,Pending,2025-07-12 03:16:47.328486,2025-07-13 03:16:47.328486
O000137,C00518,P0059,2,329.19,658.38,Cash,Pending,2025-08-31 06:50:35.711892,2025-09-04 06:50:35.711892
O000138,C00050,P0007,3,494.26,1482.78,Cash,Cancelled,2025-09-29 21:49:19.929975,2025-10-07 21:49:19.929975
O000139,C00689,P0061,3,346.69,1040.07,Card,Completed,2026-05-11 19:31:39.308833,2026-05-20 19:31:39.308833
O000140,C00442,P0018,3,489.28,1467.84,UPI,Pending,2025-07-25 04:47:24.524539,2025-07-31 04:47:24.524539
O000141,C00047,P0052,1,442.7,442.7,Cash,Completed,2025-10-21 08:39:17.078467,2025-10-31 08:39:17.078467
O000142,C00372,P0071,3,142.25,426.75,UPI,Cancelled,2025-11-23 17:54:37.563289,2025-11-25 17:54:37.563289
O000143,C00462,P0098,5,56.28,281.4,Cash,Cancelled,2025-11-10 23:29:27.938751,2025-11-15 23:29:27.938751
O000144,C00626,P0016,2,22.77,45.54,UPI,Pending,2026-05-20 08:04:44.036834,2026-05-22 08:04:44.036834
O000145,C00814,P0044,5,457.45,2287.25,Card,Completed,2025-08-22 11:39:28.044463,2025-08-28 11:39:28.044463
O000146,C00617,P0066,4,333.07,1332.28,Card,Completed,2026-04-23 18:59:58.194918,2026-05-02 18:59:58.194918
O000147,C00040,P0018,3,489.28,1467.84,Cash,Pending,2026-04-25 10:54:10.706055,2026-05-03 10:54:10.706055
O000148,C00153,P0078,5,114.67,573.35,UPI,Cancelled,2025-08-11 12:04:54.085312,2025-08-14 12:04:54.085312
O000149,C00327,P0021,4,190.55,762.2,Cash,Pending,2025-11-19 11:09:04.474854,2025-11-29 11:09:04.474854
O000150,C00608,P0044,5,457.45,2287.25,Cash,Pending,2025-12-28 03:19:25.997597,2026-01-06 03:19:25.997597
O000151,C00726,P0073,3,70.24,210.72,Card,Pending,2025-08-18 03:35:32.441415,2025-08-26 03:35:32.441415
O000152,C00340,P0087,1,361.82,361.82,Cash,Pending,2025-09-20 00:01:30.398037,2025-09-27 00:01:30.398037
O000153,C00816,P0093,1,52.8,52.8,UPI,Pending,2026-01-25 15:00:46.115414,2026-02-04 15:00:46.115414
O000154,C00991,P0084,5,276.44,1382.2,Card,Cancelled,2026-04-14 00:52:25.258697,2026-04-24 00:52:25.258697
O000155,C00053,P0075,4,67.75,271.0,Cash,Cancelled,2025-11-09 14:14:54.903417,2025-11-12 14:14:54.903417
O000156,C00739,P0080,4,499.3,1997.2,Cash,Completed,2026-05-28 16:56:09.046886,2026-05-31 16:56:09.046886
O000157,C00033,P0074,1,165.27,165.27,Card,Pending,2025-11-18 14:39:27.575852,2025-11-22 14:39:27.575852
O000158,C00322,P0054,2,326.37,652.74,Cash,Completed,2026-02-10 23:05:44.137326,2026-02-17 23:05:44.137326
O000159,C00421,P0065,5,474.76,2373.8,Cash,Cancelled,2025-11-01 14:43:28.665622,2025-11-09 14:43:28.665622
O000160,C00064,P0091,2,477.03,954.06,Card,Cancelled,2026-01-31 02:48:58.938308,2026-02-09 02:48:58.938308
O000161,C00333,P0085,4,267.63,1070.52,UPI,Pending,2025-08-29 00:01:24.375424,2025-09-07 00:01:24.375424
O000162,C00980,P0023,4,91.66,366.64,UPI,Cancelled,2025-09-07 01:02:13.678487,2025-09-16 01:02:13.678487
O000163,C00363,P0087,3,361.82,1085.46,UPI,Completed,2026-03-09 14:43:13.360957,2026-03-19 14:43:13.360957
O000164,C00981,P0032,3,151.46,454.38,UPI,Completed,2025-11-16 12:08:23.219916,2025-11-25 12:08:23.219916
O000165,C00965,P0039,3,395.36,1186.08,Cash,Cancelled,2026-05-20 00:20:05.381211,2026-05-24 00:20:05.381211
O000166,C00501,P0041,4,375.0,1500.0,Cash,Cancelled,2026-04-24 20:19:22.007852,2026-04-30 20:19:22.007852
O000167,C00281,P0037,1,312.34,312.34,Cash,Cancelled,2025-10-19 09:11:20.821814,2025-10-29 09:11:20.821814
O000168,C00389,P0051,3,339.04,1017.12,UPI,Completed,2025-07-18 17:45:34.749821,2025-07-21 17:45:34.749821
O000169,C00295,P0092,1,50.16,50.16,UPI,Cancelled,2025-09-19 07:46:43.378153,2025-09-25 07:46:43.378153
O000170,C00263,P0096,4,437.44,1749.76,Card,Cancelled,2026-05-11 19:14:54.803512,2026-05-15 19:14:54.803512
O000171,C00278,P0072,3,129.07,387.21,Card,Cancelled,2026-04-17 21:04:19.503030,2026-04-20 21:04:19.503030
O000172,C00759,P0076,2,374.1,748.2,Card,Cancelled,2026-04-25 17:53:27.764741,2026-04-29 17:53:27.764741
O000173,C00927,P0068,2,394.55,789.1,Card,Completed,2025-10-28 10:06:17.814832,2025-11-01 10:06:17.814832
O000174,C00424,P0043,4,253.39,1013.56,Cash,Completed,2026-06-22 14:49:14.157835,2026-06-24 14:49:14.157835
O000175,C00006,P0071,2,142.25,284.5,Cash,Pending,2026-03-30 15:59:46.757579,2026-04-06 15:59:46.757579
O000176,C00489,P0084,2,276.44,552.88,UPI,Pending,2025-11-01 11:48:34.965095,2025-11-06 11:48:34.965095
O000177,C00662,P0008,1,482.59,482.59,Card,Cancelled,2025-07-25 12:29:35.580501,2025-08-04 12:29:35.580501
O000178,C00757,P0093,1,52.8,52.8,UPI,Completed,2026-03-23 00:23:59.971709,2026-03-26 00:23:59.971709
O000179,C00957,P0005,4,288.04,1152.16,Card,Cancelled,2025-09-16 09:15:09.811009,2025-09-24 09:15:09.811009
O000180,C00986,P0038,1,452.18,452.18,UPI,Cancelled,2026-06-09 11:09:06.011986,2026-06-10 11:09:06.011986
O000181,C00618,P0014,3,426.91,1280.73,UPI,Cancelled,2026-06-21 01:29:17.874112,2026-06-26 01:29:17.874112
O000182,C00557,P0068,4,394.55,1578.2,Cash,Pending,2026-04-13 00:15:57.906641,2026-04-16 00:15:57.906641
O000183,C00280,P0025,1,119.93,119.93,Card,Cancelled,2026-06-05 06:56:43.505482,2026-06-11 06:56:43.505482
O000184,C00470,P0083,3,37.51,112.53,Card,Cancelled,2025-10-03 17:54:15.651204,2025-10-06 17:54:15.651204
O000185,C00346,P0038,5,452.18,2260.9,Card,Cancelled,2026-01-18 22:43:46.253460,2026-01-22 22:43:46.253460
O000186,C00877,P0082,4,450.14,1800.56,Cash,Pending,2025-12-25 00:46:12.235023,2026-01-01 00:46:12.235023
O000187,C00089,P0052,1,442.7,442.7,Card,Pending,2025-09-06 06:16:49.783726,2025-09-09 06:16:49.783726
O000188,C00332,P0032,1,151.46,151.46,UPI,Completed,2026-05-30 21:36:35.487407,2026-06-04 21:36:35.487407
O000189,C00458,P0097,3,484.36,1453.08,UPI,Cancelled,2025-09-23 20:08:25.419016,2025-09-29 20:08:25.419016
O000190,C00741,P0074,1,165.27,165.27,Cash,Pending,2025-07-02 14:25:19.157312,2025-07-07 14:25:19.157312
O000191,C00710,P0031,1,122.42,122.42,UPI,Pending,2025-12-20 13:02:46.633243,2025-12-22 13:02:46.633243
O000192,C00164,P0052,5,442.7,2213.5,Cash,Completed,2025-09-28 09:46:10.294745,2025-10-03 09:46:10.294745
O000193,C00655,P0038,3,452.18,1356.54,Card,Completed,2025-09-25 13:36:50.781420,2025-10-05 13:36:50.781420
O000194,C00981,P0018,4,489.28,1957.12,UPI,Cancelled,2025-10-02 14:29:36.300139,2025-10-05 14:29:36.300139
O000195,C00621,P0048,4,49.7,198.8,UPI,Cancelled,2025-11-11 05:37:59.856452,2025-11-20 05:37:59.856452
O000196,C00822,P0086,2,217.95,435.9,Cash,Cancelled,2025-11-17 08:39:51.687975,2025-11-21 08:39:51.687975
O000197,C00895,P0011,5,207.94,1039.7,Cash,Cancelled,2026-03-29 04:48:38.455267,2026-04-06 04:48:38.455267
O000198,C00371,P0010,5,265.35,1326.75,Card,Cancelled,2025-08-01 21:05:22.826314,2025-08-03 21:05:22.826314
O000199,C00925,P0065,2,474.76,949.52,Cash,Completed,2026-03-10 02:22:00.903005,2026-03-20 02:22:00.903005
O000200,C00169,P0042,5,394.32,1971.6,Card,Cancelled,2025-10-17 02:40:02.682774,2025-10-25 02:40:02.682774
O000201,C00211,P0092,5,50.16,250.8,Card,Cancelled,2026-05-01 06:18:01.635852,2026-05-09 06:18:01.635852
O000202,C00457,P0008,4,482.59,1930.36,Cash,Pending,2025-08-25 15:57:30.661281,2025-08-28 15:57:30.661281
O000203,C00468,P0073,1,70.24,70.24,UPI,Cancelled,2025-08-05 04:53:02.092513,2025-08-14 04:53:02.092513
O000204,C00827,P0040,1,367.52,367.52,UPI,Completed,2025-10-05 12:49:29.380523,2025-10-12 12:49:29.380523
O000205,C00764,P0028,5,472.89,2364.45,Card,Pending,2026-04-13 19:22:35.506454,2026-04-15 19:22:35.506454
O000206,C00353,P0090,1,216.25,216.25,Card,Completed,2025-12-16 14:04:55.211938,2025-12-25 14:04:55.211938
O000207,C00957,P0061,1,346.69,346.69,UPI,Completed,2026-01-07 03:52:37.426018,2026-01-12 03:52:37.426018
O000208,C00788,P0018,4,489.28,1957.12,UPI,Pending,2026-02-02 16:09:20.140776,2026-02-08 16:09:20.140776
O000209,C00891,P0049,4,270.6,1082.4,Cash,Cancelled,2025-10-26 00:35:27.657049,2025-10-28 00:35:27.657049
O000210,C00896,P0070,2,388.31,776.62,Card,Completed,2025-07-25 12:20:00.582071,2025-07-31 12:20:00.582071
O000211,C00551,P0051,5,339.04,1695.2,Cash,Completed,2026-05-17 20:10:40.429007,2026-05-20 20:10:40.429007
O000212,C00855,P0001,1,419.55,419.55,UPI,Cancelled,2025-07-05 06:16:05.974841,2025-07-10 06:16:05.974841
O000213,C00737,P0070,4,388.31,1553.24,UPI,Completed,2025-07-07 09:52:13.550549,2025-07-16 09:52:13.550549
O000214,C00254,P0059,3,329.19,987.57,UPI,Completed,2025-10-28 00:03:42.917694,2025-10-31 00:03:42.917694
O000215,C00960,P0093,1,52.8,52.8,Cash,Pending,2025-09-29 09:05:07.527680,2025-09-30 09:05:07.527680
O000216,C00630,P0099,1,330.08,330.08,Card,Completed,2025-12-30 07:18:44.426807,2026-01-03 07:18:44.426807
O000217,C00104,P0077,1,259.05,259.05,Cash,Cancelled,2025-12-08 08:29:12.420568,2025-12-16 08:29:12.420568
O000218,C00721,P0007,2,494.26,988.52,UPI,Pending,2025-08-05 22:05:46.539284,2025-08-06 22:05:46.539284
O000219,C00240,P0070,2,388.31,776.62,Card,Cancelled,2025-09-11 06:49:13.876160,2025-09-12 06:49:13.876160
O000220,C00297,P0030,5,499.69,2498.45,Cash,Cancelled,2026-03-14 09:09:57.032374,2026-03-20 09:09:57.032374
O000221,C00792,P0087,3,361.82,1085.46,UPI,Completed,2026-04-22 02:33:54.583947,2026-04-26 02:33:54.583947
